City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1,1,Mao,ES,2021-10-02 15:36:46,39.8885,4.2658,73.96,68,40,8.05
6,6,Chama,CH,2021-10-02 15:39:12,47.1821,8.4636,71.76,56,70,2.3
7,7,Rikitea,PF,2021-10-02 15:39:12,-23.1203,-134.9692,72.64,72,2,21.25
11,11,Puerto Del Rosario,ES,2021-10-02 15:39:14,28.5004,-13.8627,83.88,78,0,17.27
13,13,Shelburne,CA,2021-10-02 15:39:14,44.0787,-80.2041,70.12,61,99,13.67
14,14,Destin,US,2021-10-02 15:34:30,30.3935,-86.4958,84.4,82,1,9.22
15,15,Jamestown,US,2021-10-02 15:38:48,42.097,-79.2353,68.02,64,1,4.0
16,16,Presidencia Roque Saenz Pena,AR,2021-10-02 15:39:15,-26.7852,-60.4388,72.36,73,99,6.08
17,17,Phetchabun,TH,2021-10-02 15:39:15,16.25,101.0833,77.95,89,98,2.08
21,21,Ribeira Grande,PT,2021-10-02 15:39:16,38.5167,-28.7,77.4,78,40,14.97
23,23,Manado,ID,2021-10-02 15:39:16,1.4869999999999999,124.8455,77.77,94,40,1.14
27,27,Hilo,US,2021-10-02 15:39:17,19.7297,-155.09,73.13,91,90,5.75
29,29,Faanui,PF,2021-10-02 15:35:25,-16.4833,-151.75,79.21,69,29,19.04
30,30,Albany,US,2021-10-02 15:39:18,42.6001,-73.9662,69.31,72,91,1.01
31,31,Saint-Philippe,RE,2021-10-02 15:34:40,-21.3585,55.7679,73.22,81,41,11.54
32,32,Andros Town,BS,2021-10-02 15:39:18,24.7,-77.7667,84.16,65,89,16.51
33,33,Bethel,US,2021-10-02 15:39:19,41.3712,-73.414,70.48,71,1,10.36
34,34,Arraial Do Cabo,BR,2021-10-02 15:39:19,-22.9661,-42.0278,82.36,61,0,3.44
44,44,Kapaa,US,2021-10-02 15:34:58,22.0752,-159.319,77.32,82,75,13.8
48,48,Yulara,AU,2021-10-02 15:39:23,-25.2406,130.9889,73.24,25,0,19.57
49,49,Puerto Ayora,EC,2021-10-02 15:39:23,-0.7393,-90.3518,71.44,83,94,9.13
50,50,San Cristobal,VE,2021-10-02 15:35:01,7.7669,-72.225,77.18,46,97,8.05
51,51,Mahebourg,MU,2021-10-02 15:39:23,-20.4081,57.7,74.25,78,75,17.27
56,56,Boende,CD,2021-10-02 15:39:25,-0.2167,20.8667,79.07,69,100,2.55
57,57,Kahului,US,2021-10-02 15:35:45,20.8947,-156.47,77.85,84,75,10.36
58,58,Atuona,PF,2021-10-02 15:39:25,-9.8,-139.0333,77.88,74,42,22.73
67,67,Karwar,IN,2021-10-02 15:39:28,14.8,74.1333,79.93,90,46,9.75
70,70,Hithadhoo,MV,2021-10-02 15:39:29,-0.6,73.0833,83.1,74,44,9.64
72,72,Vaini,TO,2021-10-02 15:39:30,-21.2,-175.2,71.76,94,75,11.5
73,73,Florianopolis,BR,2021-10-02 15:39:30,-27.6146,-48.5012,72.12,73,90,1.01
78,78,Broome,US,2021-10-02 15:34:42,42.2506,-75.833,68.58,64,1,1.99
83,83,Sao Filipe,CV,2021-10-02 15:39:32,14.8961,-24.4956,79.93,80,40,7.14
84,84,Dingle,PH,2021-10-02 15:39:32,10.9995,122.6711,77.0,90,100,2.06
86,86,Manokwari,ID,2021-10-02 15:39:33,-0.8667,134.0833,78.1,83,100,4.45
87,87,Castro,BR,2021-10-02 15:39:33,-24.7911,-50.0119,71.8,69,100,2.3
89,89,Ankazobe,MG,2021-10-02 15:39:34,-18.3167,47.1167,66.61,49,5,13.87
91,91,Meulaboh,ID,2021-10-02 15:39:34,4.1363,96.1285,77.27,83,99,1.34
92,92,Ankazoabo,MG,2021-10-02 15:39:35,-22.2833,44.5167,78.66,56,66,8.88
97,97,Puerto Madero,MX,2021-10-02 15:39:36,14.7208,-92.4215,84.4,79,20,0.0
98,98,Sechura,PE,2021-10-02 15:39:36,-5.5569,-80.8222,73.63,59,48,10.16
100,100,San Juan,AR,2021-10-02 15:35:31,-31.5375,-68.5364,83.34,8,0,7.07
101,101,Avera,US,2021-10-02 15:39:37,33.194,-82.5271,80.94,53,15,6.76
102,102,Maragogi,BR,2021-10-02 15:39:37,-9.0122,-35.2225,80.35,76,18,10.6
104,104,Galesong,ID,2021-10-02 15:39:38,-5.3166,119.3661,77.02,77,52,6.13
106,106,Kikwit,CD,2021-10-02 15:39:38,-5.041,18.8162,81.82,62,91,4.59
109,109,Issoire,FR,2021-10-02 15:39:39,45.55,3.25,72.66,47,86,15.95
110,110,Mollendo,PE,2021-10-02 15:39:39,-17.0231,-72.0147,66.07,70,99,11.3
114,114,Njombe,TZ,2021-10-02 15:39:40,-9.3333,34.7667,65.28,44,54,6.91
115,115,Kijang,KR,2021-10-02 15:39:41,35.2442,129.2139,67.73,80,0,4.65
117,117,Lompoc,US,2021-10-02 15:35:22,34.6391,-120.4579,84.13,100,1,0.0
118,118,Akyab,MM,2021-10-02 15:39:41,20.15,92.9,82.83,81,100,7.14
121,121,Ahuimanu,US,2021-10-02 15:39:42,21.4447,-157.8378,76.71,80,90,8.05
122,122,Barcelos,PT,2021-10-02 15:39:43,41.5388,-8.6151,69.48,92,100,11.95
125,125,Ponta Do Sol,PT,2021-10-02 15:39:44,32.6667,-17.1,79.72,74,0,1.95
127,127,Saint George,US,2021-10-02 15:39:44,37.1041,-113.5841,75.34,29,1,0.0
128,128,Cockburn Town,TC,2021-10-02 15:36:48,21.4612,-71.1419,83.07,69,88,14.47
142,142,Yining,CN,2021-10-02 15:39:49,29.0361,114.5636,74.1,79,0,1.99
143,143,Doba,TD,2021-10-02 15:39:49,8.65,16.85,83.64,73,56,4.52
145,145,Avarua,CK,2021-10-02 15:36:04,-21.2078,-159.775,71.65,94,89,1.14
146,146,Georgetown,MY,2021-10-02 15:37:34,5.4112,100.3354,81.9,86,20,0.0
147,147,Mana,GF,2021-10-02 15:39:50,5.6592,-53.7767,84.54,73,62,9.35
149,149,Grand Gaube,MU,2021-10-02 15:39:50,-20.0064,57.6608,74.37,69,4,7.0
150,150,Bambous Virieux,MU,2021-10-02 15:39:51,-20.3428,57.7575,74.21,78,75,17.27
151,151,Belmonte,BR,2021-10-02 15:39:06,-15.8631,-38.8828,84.2,63,27,13.42
156,156,Hasaki,JP,2021-10-02 15:39:52,35.7333,140.8333,68.4,75,57,5.66
159,159,Cidreira,BR,2021-10-02 15:39:53,-30.1811,-50.2056,66.87,67,79,8.86
170,170,Rocha,UY,2021-10-02 15:39:56,-34.4833,-54.3333,66.94,46,0,11.14
171,171,Abu Samrah,SY,2021-10-02 15:39:57,35.3029,37.1841,83.5,26,0,8.32
174,174,Naron,ES,2021-10-02 15:39:58,43.5167,-8.1528,69.67,93,100,21.83
175,175,Acapulco,MX,2021-10-02 15:39:58,16.8634,-99.8901,80.42,78,75,5.75
179,179,Bereda,ES,2021-10-02 15:39:59,43.2686,-7.5406,65.14,93,100,13.06
180,180,Talara,PE,2021-10-02 15:39:59,-4.5772,-81.2719,70.56,73,0,14.97
182,182,Birjand,IR,2021-10-02 15:40:00,32.8663,59.2211,73.87,16,0,18.41
188,188,Daru,PG,2021-10-02 15:40:02,-9.0763,143.2092,77.29,91,100,5.66
192,192,Encruzilhada Do Sul,BR,2021-10-02 15:40:05,-30.5439,-52.5219,68.63,53,64,4.54
193,193,Zhoucheng,CN,2021-10-02 15:40:05,35.9122,116.3117,72.32,80,71,8.46
194,194,Tautira,PF,2021-10-02 15:36:13,-17.7333,-149.15,75.0,77,25,21.45
195,195,Antalaha,MG,2021-10-02 15:40:06,-14.9003,50.2788,71.37,83,9,8.03
198,198,Palmer,US,2021-10-02 15:40:07,42.1584,-72.3287,68.99,59,75,4.61
209,209,Richards Bay,ZA,2021-10-02 15:40:10,-28.783,32.0377,66.85,90,100,8.9
211,211,Sibolga,ID,2021-10-02 15:40:10,1.7427,98.7792,76.64,77,86,2.66
212,212,Goderich,CA,2021-10-02 15:40:11,43.7501,-81.7165,71.2,68,98,12.66
213,213,Guerrero Negro,MX,2021-10-02 15:36:30,27.9769,-114.0611,75.79,63,3,1.28
214,214,Vila Franca Do Campo,PT,2021-10-02 15:40:11,37.7167,-25.4333,73.81,73,22,11.36
217,217,Tual,ID,2021-10-02 15:40:12,-5.6667,132.75,80.69,76,100,6.04
218,218,Middelburg,ZA,2021-10-02 15:40:12,-25.7751,29.4648,72.3,45,53,14.74
223,223,Wanning,CN,2021-10-02 15:40:14,18.8003,110.3967,78.12,81,16,1.36
228,228,Cap Malheureux,MU,2021-10-02 15:40:15,-19.9842,57.6142,74.46,69,2,7.0
229,229,Yuncheng,CN,2021-10-02 15:40:16,35.0231,110.9928,73.69,85,100,6.13
234,234,Yarada,IN,2021-10-02 15:40:16,17.65,83.2667,84.52,84,40,2.3
236,236,Lorengau,PG,2021-10-02 15:36:33,-2.0226,147.2712,79.77,76,9,1.66
240,240,Port Hedland,AU,2021-10-02 15:40:18,-20.3167,118.5667,68.05,77,3,9.22
242,242,Nejdek,CZ,2021-10-02 15:40:19,50.3224,12.7294,65.17,68,20,1.99
243,243,Pringsewu,ID,2021-10-02 15:40:19,-5.3582,104.9744,74.19,96,46,2.95
245,245,Namatanai,PG,2021-10-02 15:40:20,-3.6667,152.4333,79.09,79,95,4.36
246,246,Lawton,US,2021-10-02 15:40:20,34.6087,-98.3903,68.41,90,75,5.75
247,247,Bengkulu,ID,2021-10-02 15:40:20,-3.8004,102.2655,77.27,91,89,7.2
253,253,Alofi,NU,2021-10-02 15:40:22,-19.0595,-169.9187,73.29,94,100,12.66
254,254,Lipari,IT,2021-10-02 15:40:22,38.4674,14.954,76.73,60,100,3.65
256,256,Maldonado,UY,2021-10-02 15:40:23,-34.6667,-54.9167,70.23,46,1,11.81
263,263,Clinton,US,2021-10-02 15:38:39,42.586999999999996,-82.9199,73.89,63,75,1.99
264,264,Dayong,CN,2021-10-02 15:40:25,25.0209,118.2898,82.89,93,1,0.85
265,265,Bubaque,GW,2021-10-02 15:37:57,11.2833,-15.8333,82.72,71,75,4.7
266,266,Napanee,CA,2021-10-02 15:40:25,44.2501,-76.9494,68.77,63,100,11.34
267,267,Inhambane,MZ,2021-10-02 15:40:26,-23.865,35.3833,75.18,83,20,20.71
