City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2021-10-03 22:24:15,70.6333,147.9167,22.1,96,98,8.99
1,Mataura,NZ,2021-10-03 22:27:09,-46.1927,168.8643,48.47,83,100,8.55
2,Grand Gaube,MU,2021-10-03 22:27:09,-20.0064,57.6608,72.37,75,25,5.99
3,Qaanaaq,GL,2021-10-03 22:26:36,77.484,-69.3632,29.25,96,100,7.0
4,Carutapera,BR,2021-10-03 22:27:09,-1.195,-46.02,79.99,77,100,9.22
5,Kahului,US,2021-10-03 22:27:10,20.8947,-156.47,84.97,65,40,19.57
6,Kapaa,US,2021-10-03 22:22:41,22.0752,-159.319,81.19,77,90,5.99
7,Avarua,CK,2021-10-03 22:27:10,-21.2078,-159.775,77.05,65,75,9.22
8,Albany,US,2021-10-03 22:25:20,42.6001,-73.9662,63.63,93,100,2.08
9,Shu,KZ,2021-10-03 22:27:11,43.5983,73.7614,46.49,37,76,3.8
10,Bud,US,2021-10-03 22:27:11,39.447,-86.1758,75.29,88,100,8.46
11,Cabedelo,BR,2021-10-03 22:27:11,-6.9811,-34.8339,77.67,79,4,10.94
12,Hobart,AU,2021-10-03 22:25:41,-42.8794,147.3294,56.12,94,75,1.01
13,Arraial Do Cabo,BR,2021-10-03 22:27:12,-22.9661,-42.0278,72.7,91,52,12.53
14,Barrow,US,2021-10-03 22:27:12,71.2906,-156.7887,30.22,74,90,13.8
15,Punta Arenas,CL,2021-10-03 22:24:15,-53.15,-70.9167,42.91,65,0,27.63
16,Bluff,NZ,2021-10-03 22:27:12,-46.6,168.3333,48.79,81,100,24.25
17,Hilo,US,2021-10-03 22:24:03,19.7297,-155.09,82.13,72,90,6.91
18,Mount Isa,AU,2021-10-03 22:27:13,-20.7333,139.5,76.77,22,25,13.8
19,Djambala,CG,2021-10-03 22:27:13,-2.5447,14.7533,70.97,83,91,1.19
20,Svetlogorsk,BY,2021-10-03 22:27:13,52.6333,29.7333,44.38,75,78,7.31
21,Honningsvag,NO,2021-10-03 22:27:14,70.9821,25.9704,49.28,73,100,40.35
22,Butaritari,KI,2021-10-03 22:27:14,3.0707,172.7902,82.42,68,89,18.77
23,Ushuaia,AR,2021-10-03 22:26:51,-54.8,-68.3,38.86,75,75,27.63
24,Moss Vale,AU,2021-10-03 22:27:14,-34.55,150.3833,64.0,56,25,8.77
25,Katsuura,JP,2021-10-03 22:27:15,35.1333,140.3,73.11,77,4,8.61
26,Labuhan,ID,2021-10-03 22:27:15,-6.8844,112.2051,77.94,75,100,12.66
27,Saint-Francois,FR,2021-10-03 22:27:15,46.4154,3.9054,53.67,100,90,5.75
28,Chuy,UY,2021-10-03 22:27:16,-33.6971,-53.4616,52.88,66,81,11.45
29,San Vicente,AR,2021-10-03 22:27:16,-26.6167,-54.1333,64.35,100,93,0.92
30,Kulgam,IN,2021-10-03 22:27:16,33.65,75.0167,56.39,75,1,2.04
31,Pringsewu,ID,2021-10-03 22:27:17,-5.3582,104.9744,73.8,93,100,4.16
32,Longhua,CN,2021-10-03 22:27:17,23.6137,114.1919,73.96,98,3,0.6
33,Cidreira,BR,2021-10-03 22:27:17,-30.1811,-50.2056,64.06,94,100,14.61
34,Indian Head,US,2021-10-03 22:27:17,38.6001,-77.1622,82.29,79,20,0.0
35,Henties Bay,NA,2021-10-03 22:27:18,-22.116,14.2845,53.38,91,0,1.68
36,Carnarvon,AU,2021-10-03 22:27:01,-24.8667,113.6333,59.07,82,0,10.36
37,Busselton,AU,2021-10-03 22:27:18,-33.65,115.3333,54.1,67,97,6.87
38,Atuona,PF,2021-10-03 22:27:18,-9.8,-139.0333,77.81,75,14,17.49
39,San Cristobal,VE,2021-10-03 22:27:19,7.7669,-72.225,78.98,69,49,4.14
40,Kushmurun,KZ,2021-10-03 22:27:19,52.4503,64.6311,34.88,75,65,12.35
41,Itapaci,BR,2021-10-03 22:27:19,-14.9508,-49.5494,82.96,48,64,2.98
42,Cabo San Lucas,MX,2021-10-03 22:27:20,22.8909,-109.9124,88.18,65,20,10.36
43,Rikitea,PF,2021-10-03 22:26:49,-23.1203,-134.9692,73.69,63,79,15.79
44,San Patricio,US,2021-10-03 22:27:20,28.017,-97.5169,90.01,56,89,4.23
45,Khani,GE,2021-10-03 22:27:20,41.9563,42.9566,49.57,98,100,0.56
46,Dispur,IN,2021-10-03 22:27:21,26.1425,91.7889,74.44,94,94,2.35
