City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-10-02 15:39:10,-34.5322,20.0403,56.28,50,90,13.8
1,Mao,ES,2021-10-02 15:36:46,39.8885,4.2658,73.96,68,40,8.05
2,Aksarka,RU,2021-10-02 15:39:11,66.5606,67.7975,31.01,81,76,11.43
3,Nirasaki,JP,2021-10-02 15:39:11,35.7,138.45,61.05,94,1,2.86
4,Katangli,RU,2021-10-02 15:39:12,51.7102,143.2326,42.98,70,6,8.88
5,Punta Arenas,CL,2021-10-02 15:35:35,-53.15,-70.9167,42.82,75,75,25.32
6,Chama,CH,2021-10-02 15:39:12,47.1821,8.4636,71.76,56,70,2.3
7,Rikitea,PF,2021-10-02 15:39:12,-23.1203,-134.9692,72.64,72,2,21.25
8,Praya,CV,2021-10-02 15:39:12,14.9215,-23.5087,88.34,62,20,6.91
9,Tasiilaq,GL,2021-10-02 15:39:13,65.6145,-37.6368,42.96,60,85,6.31
10,College,US,2021-10-02 15:39:13,64.8569,-147.8028,31.66,94,90,3.44
11,Puerto Del Rosario,ES,2021-10-02 15:39:14,28.5004,-13.8627,83.88,78,0,17.27
12,Victoria,HK,2021-10-02 15:39:14,22.2855,114.1577,87.22,77,12,4.0
13,Shelburne,CA,2021-10-02 15:39:14,44.0787,-80.2041,70.12,61,99,13.67
14,Destin,US,2021-10-02 15:34:30,30.3935,-86.4958,84.4,82,1,9.22
15,Jamestown,US,2021-10-02 15:38:48,42.097,-79.2353,68.02,64,1,4.0
16,Presidencia Roque Saenz Pena,AR,2021-10-02 15:39:15,-26.7852,-60.4388,72.36,73,99,6.08
17,Phetchabun,TH,2021-10-02 15:39:15,16.25,101.0833,77.95,89,98,2.08
18,Flinders,AU,2021-10-02 15:39:15,-34.5833,150.8552,57.2,90,6,1.01
19,Ushuaia,AR,2021-10-02 15:39:16,-54.8,-68.3,42.46,49,75,4.61
20,Tilichiki,RU,2021-10-02 15:36:09,60.4667,166.1,35.15,91,100,1.83
21,Ribeira Grande,PT,2021-10-02 15:39:16,38.5167,-28.7,77.4,78,40,14.97
22,Grindavik,IS,2021-10-02 15:37:12,63.8424,-22.4338,45.9,81,75,28.77
23,Manado,ID,2021-10-02 15:39:16,1.487,124.8455,77.77,94,40,1.14
24,Busselton,AU,2021-10-02 15:34:39,-33.65,115.3333,52.09,59,93,20.18
25,Kidal,ML,2021-10-02 15:39:17,18.4411,1.4078,100.65,9,60,12.93
26,Nanortalik,GL,2021-10-02 15:34:43,60.1432,-45.2371,44.01,55,0,11.36
27,Hilo,US,2021-10-02 15:39:17,19.7297,-155.09,73.13,91,90,5.75
28,Pevek,RU,2021-10-02 15:39:17,69.7008,170.3133,23.77,63,42,20.8
29,Faanui,PF,2021-10-02 15:35:25,-16.4833,-151.75,79.21,69,29,19.04
30,Albany,US,2021-10-02 15:39:18,42.6001,-73.9662,69.31,72,91,1.01
31,Saint-Philippe,RE,2021-10-02 15:34:40,-21.3585,55.7679,73.22,81,41,11.54
32,Andros Town,BS,2021-10-02 15:39:18,24.7,-77.7667,84.16,65,89,16.51
33,Bethel,US,2021-10-02 15:39:19,41.3712,-73.414,70.48,71,1,10.36
34,Arraial Do Cabo,BR,2021-10-02 15:39:19,-22.9661,-42.0278,82.36,61,0,3.44
35,East London,ZA,2021-10-02 15:39:19,-33.0153,27.9116,59.94,67,20,29.93
36,Kruisfontein,ZA,2021-10-02 15:39:20,-34.0033,24.7314,52.88,62,100,25.72
37,Shimanovsk,RU,2021-10-02 15:39:20,52.0,127.7,34.09,67,11,2.8
38,Cape Town,ZA,2021-10-02 15:37:07,-33.9258,18.4232,60.12,49,75,3.0
39,Mulchen,CL,2021-10-02 15:39:20,-37.7167,-72.2333,49.86,44,43,5.17
